numQubits,circDepth,numReps,avgDur(s),varDur(s^2)
1,1000,50,0.008451814651489259,1.594601602446344e-05
2,1000,50,0.21960554122924805,0.0032770160985319333
3,1000,50,0.45542473793029786,0.1496136964853258
4,1000,50,0.48140310764312744,0.14102082714400352
5,1000,50,0.6342606258392334,0.20056021564243487
6,1000,50,0.6247685194015503,0.1586671080727211
7,1000,50,0.7188757944107056,0.14857956012948959
8,1000,50,0.7884097576141358,0.16938133750728634
9,1000,50,0.8464810228347779,0.13239967804063046
10,1000,50,0.8485354709625245,0.06339546944144558
11,1000,50,0.9361310672760009,0.065316604262737
12,1000,50,1.0758377647399902,0.1633297502111528
13,1000,50,1.1355566263198853,0.13204319316138768
14,1000,50,1.180326681137085,0.1400789823245756
15,1000,50,1.3345106887817382,0.19992857123983265
16,1000,50,1.446612033843994,0.11655872794384736
17,1000,50,1.6039905261993408,0.08377236848221559
18,1000,50,1.9249790048599242,0.05716722055929102
19,1000,50,2.671705813407898,0.04986938932923568
20,1000,50,4.015204982757568,0.08437733704714034
21,1000,50,6.964511995315552,0.2892038376815904
22,1000,50,80.41988026618958,0.717905108416744
23,1000,50,194.15655149936677,5.627998575124366
24,1000,50,406.147073674202,4.8415183114411775
25,1000,50,846.1876298856736,18.803339131060056
